status in ontwerp:,,toelichting status:,,materiaal ID,,ruimte,,productgroep,,NL/Sfb,,Stabu-2,,element,,specificatie,,samen- hang R&F?,,verwijzing eis,,"norm / 
'+' optie",,impact  thema bij '+' optie:,,,,,,toets (status): ,,"toelichting 
status:",,acceptatie Eigen Haard:,,beargumentering/ motivatie:,
,,,,,,,,,,,,,,,,,,,,,,,,ONDERHOUD,CIRC./DUURZ.,KWALITEIT,BUDGET,WOONBELEVING,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actueel,,,,M-21-001,,Gebouw,,21. Buitenwanden,,21.0,,22.83,,ALGEMEEN: isolatie (XPS),,"Isolatie, XPS:  
- tot 100 mm + maaiveld. 
- geëxtrudeerde polystyreen hardschuimplaat met gesloten celstructuur. 
- voorzien van KOMO-kwaliteitsverklaring. 
Toebehoren: kunststof klemschotels.",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-21-002,,Gebouw,,21. Buitenwanden,,21.0,,22.83,,ALGEMEEN: isolatie (Resol hardschuim),,"Isolatie, Resol hardschuim: 
- hoogwaardige isolatie in spouwmuren 
- met vezelvrije kern, aan twee zijden voorzien van samengestelde micro-geperforeerde aluminium folie. - voorzien van KOMO-kwaliteitsverklaring. Toebehoren: kunststof klemschotels.",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-21-003,,Gebouw,,21. Buitenwanden,,21.0,,22.83,,ALGEMEEN: isolatie (Isovlas of houtvezel),,"Isolatie, isovlas of houtvezel: 
- indien mogelijk Isovlas of houtvezel isolatie (zoals Gutex Thermoflex of gelijkwaardig) toepassen in buitenwanden.",,nee,,n.v.t.,, '+' optie,,,CD,,,,,,,,,,,,
actueel,,,,M-21-004,,Gebouw,,21. Buitenwanden,,21.0,,22.83,,ALGEMEEN: koudebrug onderbreking: ,,"Koudebrug onderbreking, cellulair glas: 
- onder opgaand metselwerk boven vloeren, balkons, galerijen, loggia's en platte daken e.d.  
- warmtegeleidingscoefficiënt = 0,50 W/m.K. 
- van Foamglas  
- voorzien van KOMO-kwaliteitsverklaring. ",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-21-005,,Gebouw,,21. Buitenwanden,,21.0,,22.84,,"BUITENWANDEN, ALGEMEEN: vochtkeringen: lood ",,"Vochtkeringen, lood: 
- enkel toepassen als kunststof technisch onmogelijk is (of vanuit monumentenzorg):  
- volgens NEN-EN 12588:2007. 
- code 18 boven spouwdoorbrekingen. 
- code 20 t.b.v. voetlood en lood in spouwmuren van dakopbouwen. 
- code 25 t.b.v. loodloketten in schoorstenen. 
- loodstroken langer dan 1.000 mm voorzien van lassen. 
- overlap voorzien van felsrand. ",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-21-006,,Gebouw,,21. Buitenwanden,,21.0,,22.84,,"ALGEMEEN: vochtkeringen: Kunststof vochtkerings- strook, PVC",,"Kunststof vochtkeringsstrook, PVC: 
- zacht PVC. 
- t.p.v. aansluiting fundering/opgaand werk, verlijmd. 
- t.p.v. de bovenaansluiting tussen kozijn en metselwerk. 
- tussen gevelmetselwerk en lateien resp. geveldragers. ",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-21-007,,Gebouw,,21. Buitenwanden,,21.0,,22.84,,ALGEMEEN: vochtkeringen: Kunststof vochtkerings- strook DPC,,"Kunststof vochtkeringsstrook DPC: 
- PE-folie, waterkerend en dampdicht. 
- t.p.v. de zij- en onderaansluitingen tussen kozijn en metselwerk. 
- t.p.v. aansluiting kozijnen, loketten in schoorstenen en opgaand werk. ",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-21-008,,Gebouw,,21. Buitenwanden,,21.0,,22.84,,"BUITENWANDEN, ALGEMEEN: vochtkeringen: Kunststof vochtkerings- strook, loodververvanger",,"Kunststof vochtkeringsstrook, loodververvanger: 
- kunststof folie, gewapend met plastische rekbare, aluminium drager.  
- t.p.v. aansluiting kozijnen, loketten in schoorstenen en opgaand werk. 
- bij opgaand werk altijd een seperate slabbe toepassen. 
- alleen indien kunststof technisch onmogelijk lood toepassen.",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-21-009,,Gebouw,,21. Buitenwanden,,21.0,,22.84,,"BUITENWANDEN, ALGEMEEN: vochtkeringen: Kunststof vochtkerings- strook, loodververvanger",,"Kunststof vochtkeringsstrook, loodververvanger: 
- waar mogelijk: loodvervanger toepassen met recyclaat (zoals bijvoorbeeld Leadax).",,nee,,n.v.t.,, '+' optie,,,CD,,,,,,,,,,,,
actueel,,,,M-21-010,,Gebouw,,21. Buitenwanden,,21.0,,22.85,,ALGEMEEN: ventilatie- voorzieningen,,"Ventilatievoorzieningen, vloerventilatiekokers:  
- van kunststof, Z-vormig, met muisdicht rooster, aan straatzijde RVS plaatje. 
- verlengstukken toepassen waar nodig. ",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-21-011,,Gebouw,,21. Buitenwanden,,21.0,,22.86,,ALGEMEEN: gevelroosters,,"Gevelroosters: 
- van aluminium. 
- regen inslagvrij lamellenrooster. 
- geanodiseerd of gepoedercoat in RAL-kleur. ",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-21-012,,Gebouw,,21. Buitenwanden,,21.0,,38.40,,"ALGEMEEN: vaste schermen en roosters, buiten",,"Vaste schermen en roosters (buiten): 
- Materiaal: staal of aluminium. 
- Oppervlakte- behandeling: stalen frame thermisch verzinkt, overeenkomstig NEN 1461. 
- Vulling: mat gelaagd glas
- Afwerking: gepoedercoat in RAL-kleur, laagdikte minimaal 90 µm. 
- Verankering- en bevestigingsmiddelen: in roestvast stalen uitvoering, kwaliteit A2.
- renovatie; trespa (volkern plaatmateriaal) schaamschot.",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-21-013,,Gebouw,,21. Buitenwanden,,21.11,,23.70,,"BUITENWAND: Gevelbanden, muurafdekkingen, kantplanken e.d",,"Gevelbanden, muurafdekkingen, kantplanken e.d. :
- sterkteklasse minimaal C35/45. 
- oppervlak zichtzijden (bekisitingszijden) klasse B volgens NEN 6722-02. 
- in lichtgrijs schoon beton. 
- bovenzijde afwaterend uitvoeren. 
- verankerings- en bevestigingsmiddelen binnen in roestvast stalen uitvoering, kwaliteit AISI 304.",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-21-013,,Gebouw,,21. Buitenwanden,,21.11,,43.41,,BUITENWAND: muurafdekkers,,"Muurafdekkers (aluminium):
- aluminium muurafdekkers gepoedercoat in kleur;
- incl. klangen.
- bovenzijde afwaterend uitvoeren. ",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-21-014,,Gebouw,,21. Buitenwanden,,21.12,,23.70,,BUITENWAND:  Geīsoleerde kantplanken ,,"Geïsoleerde kantplanken:   
- toplaag van cementgebonden vezelplaat, voorzien van isolatie van geëxtrudeerd polystyreen hardschuim. ",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-21-015,,Gebouw,,21. Buitenwanden,,21.12,,24.52,,SPOUWWANDEN: hout,,"Hout voorzien van FSC-keurmerk (hergebruikt hout uitgezonderd). Verduurzamen:  
- houtproducten met een duurzaamheidsklasse lager dan III verduurzaamd door dompeling gevolgd door diffusie overeenkomstig NEN 2911-85, geleverd onder KOMO-kwaliteitsverklaring. ",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-21-016,,Gebouw,,21. Buitenwanden,,21.12,,"22.31
22.60",,SPOUWWANDEN: baksteen met mortel,,"Steen: 
- dichtheid HD. 
- maattolerantie categorie T2. 
- maatspreiding categorie R1. 
- actieve oplosbare zouten categorie S2.- vorst- en dooiweerstand categorie F2.
Mortel:  
- prefab doorstrijkmortel volgens NEN-EN 998-2-10. 
- mortel naar toepassing (klasse): G. 
- morteldruksterkte (klasse): M 10. 
- bindmiddel: cement CEM I en bouwkalk (NEN-EN 459-1-10). 
Toebehoren: - spouwankers, van roestvast staal, 
kwaliteit AISI 304, ø 4 mm. - veer-/stripankers vangeperforeerd roestvast staal, kwaliteit AISI 304. Voegvulling: voegvulling op rug.",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-21-017,,Gebouw,,21. Buitenwanden,,21.12,,"22.31
22.60",,SPOUWWANDEN: baksteen met mortel,,"Steen: 
- duurzaam alternatief: Wienerberger Ecobrick of gelijkwaardig;
- dichtheid HD. 
- maattolerantie categorie T2. 
- maatspreiding categorie R1. 
- actieve oplosbare zouten categorie S2.- vorst- en dooiweerstand categorie F2.
Mortel:  
- prefab doorstrijkmortel volgens NEN-EN 998-2-10. 
- mortel naar toepassing (klasse): G. 
- morteldruksterkte (klasse): M 10. 
- bindmiddel: cement CEM I en bouwkalk (NEN-EN 459-1-10). 
Toebehoren: - spouwankers, van roestvast staal, 
kwaliteit AISI 304, ø 4 mm. - veer-/stripankers vangeperforeerd roestvast staal, kwaliteit AISI 304. Voegvulling: voegvulling op rug.",,nee,,n.v.t.,, '+' optie,,,CD,,,,,,,,,,,,
actueel,,,,M-21-018,,Gebouw,,21. Buitenwanden,,21.12,,"22.72 
22.81",,SPOUWWANDEN: baksteen met mortel (voegwerk & wapening),,"Voegtype: 
- projectafhankelijk, volgens CUR 061. 
- doorgestreken voegwerk heeft de voorkeur. Voeghardheid:  
- VH25/VH35, handmatig/ mechanisch verdicht, afgestemd op de toegepaste gevelsteen. 
Voegmortel: 
- fabrieksmatig droog vervaardigde mortel in kleur. 
- samenstelling: volgens opgave fabrikant/ leverancier van de voegmortel. 
Wapening: geprefabriceerde lintvoegwapening van hoogwaardig verzinkt staal; in buitentoepassingen voorzien van epoxycoating. 
Bij herstelwerk scheurvorming: toepassen Murfor wapening en RVS Helibar wokkels van Total Wall.",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-21-019,,Gebouw,,21. Buitenwanden,,21.12,,22.82,,SPOUWWANDEN: verankeringen en opvang- constructies,,"Stalen lateien en geveldragers: 
- thermisch verzinkt volgens NEN-EN-ISO 1461-09. 
- gepoedercoat in RAL-kleur, minimale laagdikte 80 µm. Stalen ondersteuningselementen:  
- thermisch verzinkt volgens NEN-EN-ISO 1461-09. 
- gepoedercoat, minimale laagdikte 80 µm. 
Toebehoren: - verankerings- en bevestigingsmiddelen en ankerrails in roestvast stalen uitvoering, kwaliteit AISI 314; aan warme zijde spouw in thermisch verzinkt stalen uitvoering. ",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-21-020,,Gebouw,,21. Buitenwanden,,21.12,,22.83,,SPOUWWANDEN: isolatie (Isovlas),,"Isolatie, Isovlas: 
- fabricaat: Isovlas  
- toe te passen bij dampopen systemen  
- PN en PL bouwisolatie 
-  vanaf 100 mm + maaiveld, t.p.v. spouwmuren en houtskeletbouw binnenspouwbladen.",,nee,,n.v.t.,, '+' optie,,,CD,,,,,,,,,,,,
actueel,,,,M-21-021,,Gebouw,,21. Buitenwanden,,21.12,,22.83,,SPOUWWANDEN: isolatie (minerale wol),,"Isolatie, minerale wol: 
- vanaf 100 mm + maaiveld. 
- minerale wol, aan spouwzijde voorzien van gecoate, micro-geperforeerde aluminium bekleding (nieuwbouw).
- voorzien van KOMO-kwaliteitsverklaring. ",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-21-022,,Gebouw,,21. Buitenwanden,,21.23,,24.52,,"BUITENWANDEN (BINNENSPOUW- BLADEN), HOUTSKELET- BOUW: HSB binnenspouw- bladen",,"Wandelementen, binnenspouwbladen HSB: 
- wandregels van Europees vuren (NEN 5466+w04), kwaliteitsklasse C. 
- beplating binnenzijde, Fermacell of gelijkwaardig.
 - aan de binnenzijde een dampremmende PE_folie, Sd ≥ 150 m.
- aan de buitenzijde een dampdoorlatende waterkerende folie, Sd < 0,05 m. 
- ankers en bevestigingsmiddelen binnen 
in thermisch verzinkt stalen uitvoering; 
- met buitenlucht in aanraking komend in 
roestvast staal, kwaliteit AISI 304. ",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-21-023,,Gebouw,,21. Buitenwanden,,41.0,,31.00,,ALGEMEEN: gevelbekledingen,,"Gevelbekledingen: 
- onderhoudsarm materiaal
- gelijmd aanbrengen van gevelmateriaal, dan wel gelijmde constructies zijn niet toegestaan. 
- mechanische montage met gevelbekledingen cf. voorschriften en in goed overleg met de fabrikant/leverancier in verband met de garanties op materiaal en kleur. 
- Bevestigingsmiddelen van RVS toepassen. ",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-21-024,,Gebouw,,21. Buitenwanden,,41.0,,46.00,,"BUITENWANDEN, AFWERKLAGEN: schilderwerk",,"Schilderwerk: - Alleen kleurklassen 1 en 2. ( Kleurklasse I of II conform de onderhoudsklassen van Stichting Garantiefonds Timmerwerk. (Op basis van de lichtreflectie heeft SGT onderscheid gemaakt in de volgende drie onderhoudsklassen: Klasse I, gunstig - Klasse II, normaal - Klasse III, ongunstig.)) - Buiten géén transparante systemen toepassen bij nieuwbouwprojecten. 
- Buitenwerk volgens BRL 0817; hoogglans afwerking > 90 GU/20° (ISO 2913). na ca. 1 maand doordroging hoogglans; > 80 G.U. (60°). - Er mag worden afgeweken als dit een eis is uit bestemmingsplan.",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-21-025,,Gebouw,,21. Buitenwanden,,41.0,,46.00,,"BUITENWANDEN, AFWERKLAGEN: schilderwerk",,"Schilderwerk: Fabrikant: Sigma, Sikkens of gelijkwaardig. ",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-21-026,,Gebouw,,21. Buitenwanden,,41.0,,46.00,,"BUITENWANDEN, AFWERKLAGEN: schilderwerk",,"Schilderwerk: Fabrikant: Rigo, serie Toplin of
gelijkwaardig.",,nee,,n.v.t.,, '+' optie,,,CD,,,,,,,,,,,,
actueel,,,,M-21-027,,Gebouw,,21. Buitenwanden,,41.11,,40.50,,AFWERKLAGEN: buitengevel- isolatie- systemen,,"Buitengevelisolatiesystemen: Systeem met gepleisterde afwerking:  
- EPS-platen, bevestigd met hechtmortel en aanvullend mechanisch bevestigd.
 - wapeningsweefsel op het isolatiemateriaal bevestigd met hechtmortel. 
- afwerking met kunstharsgebonden sierpleister met fijne korrel en capillair-hydrofobe rasterstructuur. 
- beschermingsprofielen in roestvast stalen uitvoering, kwaliteit AISI 304. ",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-21-028,,Gebouw,,21. Buitenwanden,,41.11,,40.50,,AFWERKLAGEN: buitengevel- isolatie- systemen,,"Buitengevelisolatiesystemen: Systeem met gepleisterde afwerking:  
- PIR isolatie met recyclaat, bevestigd met hechtmortel en aanvullend mechanisch bevestigd.
 - wapeningsweefsel op het isolatiemateriaal bevestigd met hechtmortel. 
- afwerking met kunstharsgebonden sierpleister met fijne korrel en capillair-hydrofobe rasterstructuur. 
- beschermingsprofielen in roestvast stalen uitvoering, kwaliteit AISI 304. ",,nee,,n.v.t.,, '+' optie,,,CD,,,,,,,,,,,,
actueel,,,,M-21-029,,Gebouw,,21. Buitenwanden,,41.12,,24.41,,BEKLEDINGEN: BUITENWAND- BEKLEDING: vezelcement,,"Vlakke vezelcementplaat, exterieur: - door- en door gekleurde vezelcementplaat. - bevestiging op EPDM onderprofielen met roestvast stalen schroeven in kleur van de plaat. ",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-22-001,,Woning,,22. Binnenwanden,,42.00,,45.46,,ALGEMEEN: eindstijlen rondom vrije zijden binnenwanden: ,,"Eindstijlen rondom vrije zijden binnenwanden:  
- geprofileerd (meranti, dekkend geschilderd). ",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-22-002,,Woning,,22. Binnenwanden,,42.00,,45.46,,ALGEMEEN: eindstijlen rondom vrije zijden binnenwanden: ,,"Eindstijlen rondom vrije zijden binnenwanden:  
- bamboe. ",,nee,,n.v.t.,, '+' optie,,,CD,,,,,,,,,,,,
